,orig_index,tweet,tweet_text,clean_tweet
183,1073,"RT @CBCAlerts: @CBCNews Update: Australia to screen some flights from China, warns coronavirus difficult to stop. Biosecurity officials wou…",#NAME?,CBCNews Update Australia to screen some flight from China warns coronavirus difficult to stop Biosecurity official wou
187,457,"RT @IslandGirlPRV: #CDC reports 129 #coronavirus裂 cases in the US, with 10 deaths reported. 

The Centers for Disease Control and Preventio…","#CDC reports 129 #coronavirus裂 cases in the US, with 10 deaths reported. 

The Centers for Disease Control and Preventio",CDC report 129 coronavirus裂 case in the US with 10 death report The Centers for Disease Control and Preventio
188,439,RT @CDCgov: #CDCTRAVELNOTICE: #Coronavirus in #Italy and #Iran. CDC recommends avoiding all nonessential travel to Italy and Iran. More inf…,#CDCTRAVELNOTICE: #Coronavirus in #Italy and #Iran. CDC recommends avoiding all nonessential travel to Italy and Iran. More inf,CDCTRAVELNOTICE Coronavirus in Italy and Iran CDC recommends avoid all nonessential travel to Italy and Iran More inf
189,121,#NAME?,#NAME?,CIHRIRSC SSHRCCRSH NSERCCRSNG WHO IDRCCRDI GloPIDR NSERCCRSNG The funding agency be work together to provide funding for research on the coronavirus outbreak
190,707,RT @CBCAlerts: COMING UP LIVE: World Health Organization officials will give an update on the spread of coronavirus. https://t.co/5FGwdXNk8C,COMING UP LIVE: World Health Organization officials will give an update on the spread of coronavirus. ,COMING UP LIVE World Health Organization official will give an update on the spread of coronavirus
192,374,RT @CBSNews: CORONAVIRUS SONG: A PSA out of Vietnam is encouraging people to wash their hands through a catchy song – so catchy that there'…,CORONAVIRUS SONG: A PSA out of Vietnam is encouraging people to wash their hands through a catchy song – so catchy that there,CORONAVIRUS SONG PSA out of Vietnam be encourage people to wash their hand through catchy song so catchy that there
193,31,"RT @HHSGov: CORONAVIRUS UPDATE: @SecAzar, @CDCDirector, @DrNancyM_CDC &amp; @NIAIDNews Director Anthony Fauci give an update on the HHS respons…","CORONAVIRUS UPDATE: @SecAzar, @CDCDirector, @DrNancyM_CDC &amp; @NIAIDNews Director Anthony Fauci give an update on the HHS respons",CORONAVIRUS UPDATE SecAzar CDCDirector DrNancyMCDC amp NIAIDNews Director Anthony Fauci give an update on the HHS respons
196,296,"RT @GeopoliticalJD: Cairo contacts Paris, Ontario on coronavirus cases coming from Egypt - Egypt Today https://t.co/aPSkkjvPo5","Cairo contacts Paris, Ontario on coronavirus cases coming from Egypt - Egypt Today ",Cairo contact Paris Ontario on coronavirus case come from Egypt Egypt Today
197,346,Calls for a Bank of Canada rate cut next week grow as coronavirus crisis deepens | Financial Post https://t.co/aPumuIsPzc,Calls for a Bank of Canada rate cut next week grow as coronavirus crisis deepens | Financial Post ,Calls for Bank of Canada rate cut next week grow a coronavirus crisis deepens Financial Post
198,67,RT @samirasawlani: Cameroonian student in Wuhan who was diagnosed with the Coronavirus (the only African National so far) has completed his…,Cameroonian student in Wuhan who was diagnosed with the Coronavirus (the only African National so far) has completed his,Cameroonian student in Wuhan who be diagnose with the Coronavirus the only African National so far have complete his
200,71,RT @globeandmail: Canada Goose slashes 2020 forecasts on coronavirus hit https://t.co/XMhD3FMf7E @GlobeBusiness https://t.co/KbDrsbf3Fq,Canada Goose slashes 2020 forecasts on coronavirus hit  @GlobeBusiness ,Canada Goose slash 2020 forecast on coronavirus hit GlobeBusiness
201,1126,RT @epaultaylor: Canada announces 'presumptive' 1st case of deadly #coronavirus in Toronto. The patient  —  a man in his 50s who had travel…,Canada announces 'presumptive' 1st case of deadly #coronavirus in Toronto. The patient  —  a man in his 50s who had travel,Canada announces 1st case of deadly coronavirus in Toronto The patient man in his 50 who have travel
203,1263,"RT @Reuters: Canada has identified three cases of the new coronavirus so far, but there are fears that a more serious outbreak could stoke…","Canada has identified three cases of the new coronavirus so far, but there are fears that a more serious outbreak could stoke",Canada have identify three case of the new coronavirus so far but there be fear that more serious outbreak could stoke
204,1165,"RT @theasianfmnst: Canada's Chinese community faces racist abuse in wake of coronavirus
Country has seen just three confirmed cases of the…","Canada's Chinese community faces racist abuse in wake of coronavirus
Country has seen just three confirmed cases of the",Canada is Chinese community face racist abuse in wake of coronavirus Country have see just three confirm case of the
205,987,"RT @CBCOlympics: Canada's Kia Nurse responds to the growing coronavirus effects felt throughout the sporting world, including March Madness…","Canada's Kia Nurse responds to the growing coronavirus effects felt throughout the sporting world, including March Madness",Canada is Kia Nurse responds to the grow coronavirus effect felt throughout the sport world include March Madness
207,1084,RT @CTVNews: Canada's chief public health officer says no vaccine for coronavirus for a year https://t.co/M6QAaTfhjn https://t.co/rxDIDs6RfH,Canada's chief public health officer says no vaccine for coronavirus for a year  ,Canada is chief public health officer say no vaccine for coronavirus for year
208,1147,RT @Reuters: Canada's first coronavirus patient had symptoms on flight from China https://t.co/Eh0QWL3Te9 https://t.co/0mXnNU5Eqw,Canada's first coronavirus patient had symptoms on flight from China  ,Canada is first coronavirus patient have symptom on flight from China
209,1264,RT @Reuters: Canada's first coronavirus patient had symptoms on flight from China https://t.co/zBncE0Y1hu https://t.co/vRRsmJatbi,Canada's first coronavirus patient had symptoms on flight from China  ,Canada is first coronavirus patient have symptom on flight from China
210,1010,"RT @linda4workers: ""Canada's first death from the novel coronavirus has highlighted the urgent and often ignored need for better staffing a…","""Canada's first death from the novel coronavirus has highlighted the urgent and often ignored need for better staffing a",Canada is first death from the novel coronavirus have highlight the urgent and often ignore need for well staff
211,102,RT @ctvsaskatoon: Canada's first 'presumptive positive' case of coronavirus found in Ontario https://t.co/2jOeTJlDPS https://t.co/31L2G1m2EB,Canada's first 'presumptive positive' case of coronavirus found in Ontario  ,Canada is first positive case of coronavirus found in Ontario
212,1156,"Canada's second confirmed presumptive case of coronavirus is wife of first case, which is now confirmed - CTV News: https://t.co/OAlgvebamv","Canada's second confirmed presumptive case of coronavirus is wife of first case, which is now confirmed - CTV News",Canada is second confirm presumptive case of coronavirus be wife of first case which be now confirm CTV News
213,409,Canada issues travel advisory as Italy grapples with coronavirus. Story from #RSJalum @mahamabedi via @globalnews    https://t.co/xbQTHwXtYi,Canada issues travel advisory as Italy grapples with coronavirus. Story from #RSJalum @mahamabedi via @globalnews    ,Canada issue travel advisory a Italy grapple with coronavirus Story from RSJalum mahamabedi via globalnews
216,312,Canada prepares pandemic response plan as coronavirus cases continue to climb | CBC News - https://t.co/S0EAmMB2TE via @shareaholic,Canada prepares pandemic response plan as coronavirus cases continue to climb | CBC News -  via @shareaholic,Canada prepares pandemic response plan a coronavirus case continue to climb CBC News via shareaholic
217,954,RT @CTVNews: Canada releases coronavirus guidelines on when to cancel major events https://t.co/vEyFDNZIMJ https://t.co/gO3qqxgUf9,Canada releases coronavirus guidelines on when to cancel major events  ,Canada release coronavirus guideline on when to cancel major event
218,761,"RT @nationalpost: Canadian companies ramp up coronavirus precautions with travel restrictions, work-at-home options https://t.co/jkHx48XA4r","Canadian companies ramp up coronavirus precautions with travel restrictions, work-at-home options ",Canadian company ramp up coronavirus precaution with travel restriction workathome option
219,1252,RT @CTVNews: Canadian companies wince from impact of coronavirus as it strikes across sectors https://t.co/0dffeYd34o https://t.co/u8iqA1uM…,Canadian companies wince from impact of coronavirus as it strikes across sectors  ,Canadian company wince from impact of coronavirus a it strike across sector
222,756,"RT @ndtv: Cancelled bookings, empty rooms: #coronavirus takes toll on tourism https://t.co/l5V1V6XEik https://t.co/GW3lSi0hQt","Cancelled bookings, empty rooms: #coronavirus takes toll on tourism  ",Cancelled booking empty room coronavirus take toll on tourism
223,919,RT @OttawaCitizen: Carnival's Princess Cruises suspends global operations for 2 months on coronavirus fears https://t.co/IuiZU296NL https:/…,Carnival's Princess Cruises suspends global operations for 2 months on coronavirus fears  https,Carnival is Princess Cruises suspends global operation for month on coronavirus fear http
224,1314,"RT @cnni: Cases of Wuhan coronavirus have been confirmed in more than two dozen countries, and health officials are working to contain the…","Cases of Wuhan coronavirus have been confirmed in more than two dozen countries, and health officials are working to contain the",Cases of Wuhan coronavirus have be confirm in more than two dozen country and health official be work to contain the
226,728,"RT @WR_Record: Catholic Kitchener school postpones student trip due to coronavirus.
— Resurrection Catholic Secondary School in Kitchener i…","Catholic Kitchener school postpones student trip due to coronavirus.
— Resurrection Catholic Secondary School in Kitchener i",Catholic Kitchener school postpones student trip due to coronavirus Resurrection Catholic Secondary School in Kitchener
227,1153,"RT @CPHO_Canada: 5/5 Cdns can take precautions to prevent respiratory illnesses like #coronavirus #2019nCoV, including: 
✔️frequent #handwa…","5/5 Cdns can take precautions to prevent respiratory illnesses like #coronavirus #2019nCoV, including: 
✔️frequent #handwa",Cdns can take precaution to prevent respiratory illness like coronavirus 2019nCoV include handwa
230,1208,"RT @SkyNews: China is building a new 1,000-bed hospital in five days to treat victims of the new deadly coronavirus.

Get the latest on the…","China is building a new 1,000-bed hospital in five days to treat victims of the new deadly coronavirus.

Get the latest on the",China be building new hospital in five day to treat victim of the new deadly coronavirus Get the late on the
231,1185,"RT @CP24: China discloses 136 new cases of coronavirus, including a third fatality https://t.co/bHDlphjiSm https://t.co/aPR1WGownM","China discloses 136 new cases of coronavirus, including a third fatality  ",China discloses 136 new case of coronavirus include third fatality
232,702,"RT @alfonslopeztena: China’s economic slowdown due to the coronavirus lockdown has caused a significant drop in air pollution levels
https:…","China’s economic slowdown due to the coronavirus lockdown has caused a significant drop in air pollution levels
https",China economic slowdown due to the coronavirus lockdown have cause significant drop in air pollution level http
234,1269,"RT @GlobalNational: China has put more cities under lockdown, restricting the travel of millions of people, amid the coronavirus crisis. Da…","China has put more cities under lockdown, restricting the travel of millions of people, amid the coronavirus crisis. Da",China have put more city under lockdown restrict the travel of million of people amid the coronavirus crisis Da
237,765,"RT @tfadell: China's Air Pollution Rates Plummet After Coronavirus Lockdown

https://t.co/FOmvqRHTwg https://t.co/yjFSuV9OeP","China's Air Pollution Rates Plummet After Coronavirus Lockdown

 ",China is Air Pollution Rates Plummet After Coronavirus Lockdown
238,183,"RT @timesofindia: China's February factory PMI seen at lowest since 2009 as coronavirus slams production, reports Reuters

#CoronavirusOutb…","China's February factory PMI seen at lowest since 2009 as coronavirus slams production, reports Reuters

#CoronavirusOutb",China is February factory PMI see at low since 2009 a coronavirus slam production report Reuters CoronavirusOutb
239,204,RT @Reuters: China's coronavirus outbreak has devastated the Asian airline industry as they stand to lose $27.8 billion of revenue this yea…,China's coronavirus outbreak has devastated the Asian airline industry as they stand to lose $27.8 billion of revenue this yea,China is coronavirus outbreak have devastate the Asian airline industry a they stand to lose billion of revenue this yea
241,1180,RT @LFPress: China locks down city of 11 million people at epicenter of deadly coronavirus outbreak https://t.co/rg6U4E2sqa #CoronavirusOut…,China locks down city of 11 million people at epicenter of deadly coronavirus outbreak  #CoronavirusOut,China lock down city of 11 million people at epicenter of deadly coronavirus outbreak CoronavirusOut
245,1249,"RT @JulieYAli: Chinese Canadians, health officials taking stand against 'unfair stigmatization' during coronavirus outbreak | CBC News http…","Chinese Canadians, health officials taking stand against 'unfair stigmatization' during coronavirus outbreak | CBC News http",Chinese Canadians health official take stand against stigmatization during coronavirus outbreak CBC News http
247,839,"RT @DeenaLadd: Chinese community in #Toronto facing massive impact of #coronavirus People losing jobs, businesses losing customers, people…","Chinese community in #Toronto facing massive impact of #coronavirus People losing jobs, businesses losing customers, people",Chinese community in Toronto face massive impact of coronavirus People lose job business lose customer people
248,1313,RT @AngelaSterritt: Chinese doctor who sounded the alarm about coronavirus dies from the illness | CBC News https://t.co/jiSc2W5cW2,Chinese doctor who sounded the alarm about coronavirus dies from the illness | CBC News ,Chinese doctor who sound the alarm about coronavirus dy from the illness CBC News
256,913,RT @Reuters: Coachella and Stagecoach festivals are postponing until October due to #coronavirus concerns. Follow live virus updates: https…,Coachella and Stagecoach festivals are postponing until October due to #coronavirus concerns. Follow live virus updates: https,Coachella and Stagecoach festival be postpone until October due to coronavirus concern Follow live virus update http
260,1281,"RT @michelledubeCTV: Coming up at 6: Latest on the 7.7 magnitude quake that struck Caribbean. Also tonight, 3rd case of #coronavirus confir…","Coming up at 6: Latest on the 7.7 magnitude quake that struck Caribbean. Also tonight, 3rd case of #coronavirus confir",Coming up at Latest on the magnitude quake that struck Caribbean Also tonight 3rd case of coronavirus confir
261,1051,"RT @GHS: (2/2) Confirmed #COVID19 cases as of 7 Mar 16:00 CET via @WHO https://t.co/q7w9g8LAEf

20
19
18
17
16
14
13
…","(2/2) Confirmed #COVID19 cases as of 7 Mar 16:00 CET via @WHO 

20
19
18
17
16
14
13",Confirmed COVID19 case a of Mar CET via WHO
262,5,"RT @EpochTimesChina: 4 p.m. UTC—Case Confirmed in Chicago

The 2nd case of #Coronavirus in the US was confirmed through testing, #Health of…","4 p.m. UTC—Case Confirmed in Chicago

The 2nd case of #Coronavirus in the US was confirmed through testing, #Health of",Confirmed in Chicago The 2nd case of Coronavirus in the US be confirm through test Health of
267,117,RT @latimeshealth: Coronavirus: China has quarantined 50 million people. Experts worry that might backfire https://t.co/9OO1ceWoZM,Coronavirus: China has quarantined 50 million people. Experts worry that might backfire ,Coronavirus China have quarantine 50 million people Experts worry that might backfire
270,36,Coronavirus: How China's increasing global power could be influencing global virus response https://t.co/zqnssnMEFF via @Telegraph,Coronavirus: How China's increasing global power could be influencing global virus response  via @Telegraph,Coronavirus How China is increase global power could be influence global virus response via Telegraph
272,1247,"Coronavirus Live Updates: China Suspends Travel From More Cities, First Death Outside Epicenter Reported https://t.co/CdCkjYiSeW","Coronavirus Live Updates: China Suspends Travel From More Cities, First Death Outside Epicenter Reported ",Coronavirus Live Updates China Suspends Travel From More Cities First Death Outside Epicenter Reported
273,1160,Coronavirus Live Updates: Death Toll Reaches 56 as U.S. Finds Third Case - The New York Times: https://t.co/1ydWcg5Djg,Coronavirus Live Updates: Death Toll Reaches 56 as U.S. Finds Third Case - The New York Times,Coronavirus Live Updates Death Toll Reaches 56 a Finds Third Case The New York Times
274,1328,"RT @LFPress: Coronavirus: London public health officials bracing for 'high likelihood' virus will eventually be found here

https://t.co/gN…","Coronavirus: London public health officials bracing for 'high likelihood' virus will eventually be found here

",Coronavirus London public health official bracing for likelihood virus will eventually be found here
277,651,"RT @mikegalsworthy: 裂 Coronavirus: Northern Italy goes into shutdown mode.

“Weddings and funerals have been suspended, as well as religiou…","裂 Coronavirus: Northern Italy goes into shutdown mode.

“Weddings and funerals have been suspended, as well as religiou",Coronavirus Northern Italy go into shutdown mode Weddings and funeral have be suspend a well a religiou
279,603,RT @edunkel: Coronavirus: Quebec trying to determine whether to cancel world figure skating championships | https://t.co/MFSyeci7a0 https:/…,Coronavirus: Quebec trying to determine whether to cancel world figure skating championships |  https,Coronavirus Quebec try to determine whether to cancel world figure skate championship http
281,973,"Coronavirus: The Ontario Hockey League says it's limiting access to dressing rooms and team facilities going forward.
https://t.co/KjD3uytaXM","Coronavirus: The Ontario Hockey League says it's limiting access to dressing rooms and team facilities going forward.
",Coronavirus The Ontario Hockey League say it is limit access to dress room and team facility go forward
282,939,"RT @AM980News: Coronavirus: The Ontario Hockey League says it's limiting access to dressing rooms and team facilities going forward.
https:…","Coronavirus: The Ontario Hockey League says it's limiting access to dressing rooms and team facilities going forward.
https",Coronavirus The Ontario Hockey League say it is limit access to dress room and team facility go forward http
285,838,"Coronavirus US: How canceled classes and events and self-quarantines save lives, in one chart - Vox https://t.co/S7nCuBeDET","Coronavirus US: How canceled classes and events and self-quarantines save lives, in one chart - Vox ",Coronavirus US How cancel class and event and selfquarantines save life in one chart Vox
287,940,Coronavirus and your #mentalhealth: Two experts explain why we panic and how to cope: https://t.co/FiRqb6UFvv via @torontostar,Coronavirus and your #mentalhealth: Two experts explain why we panic and how to cope via @torontostar,Coronavirus and your mentalhealth Two expert explain why we panic and how to cope via torontostar
291,594,RT @spencerkeys: Coronavirus is such a perfect example of why every professional workplace should be equipped to do remote work. Highly tra…,Coronavirus is such a perfect example of why every professional workplace should be equipped to do remote work. Highly tra,Coronavirus be such perfect example of why every professional workplace should be equip to do remote work Highly tra
294,236,"RT @rginsberg2: #Coronavirus cases among health workers climb, underscoring the chaos on an outbreak’s front lines https://t.co/e0bL45dUqv…","#Coronavirus cases among health workers climb, underscoring the chaos on an outbreak’s front lines ",Coronavirus case among health worker climb underscore the chaos on an outbreak front line
295,70,RT @Reuters: Coronavirus cases on cruise liner off Japan jump to 61 https://t.co/yCI8zTOFze https://t.co/hkDfOzkT7X,Coronavirus cases on cruise liner off Japan jump to 61  ,Coronavirus case on cruise liner off Japan jump to 61
296,510,RT @washingtonpost: Coronavirus could halt the world’s emissions growth. Not that we should feel good about that. https://t.co/24F17tmcWO,Coronavirus could halt the world’s emissions growth. Not that we should feel good about that. ,Coronavirus could halt the world emission growth Not that we should feel good about that
297,715,RT @Reuters: Coronavirus crash wipes $5 trillion off world stocks https://t.co/A7XTxCxGid https://t.co/XOz70cFLt1,Coronavirus crash wipes $5 trillion off world stocks  ,Coronavirus crash wipe trillion off world stock
298,489,RT @Newsweek: Coronavirus cruise ship cancellations and travel advisories as Grand Princess docks in San Francisco https://t.co/vRY5UNIQyc,Coronavirus cruise ship cancellations and travel advisories as Grand Princess docks in San Francisco ,Coronavirus cruise ship cancellation and travel advisory a Grand Princess dock in San Francisco
299,57,"RT @CTVNews: Coronavirus death toll rises to 722 in China with 34,546 cases https://t.co/2vTzwTA1o1 https://t.co/OqzyBj8D1Z","Coronavirus death toll rises to 722 in China with 34,546 cases  ",Coronavirus death toll rise to 722 in China with case
300,764,RT @OHaraClare: Coronavirus disrupting business travel as companies restrict trips and cancel conferences /via @globeandmail https://t.co/j…,Coronavirus disrupting business travel as companies restrict trips and cancel conferences /via @globeandmail ,Coronavirus disrupt business travel a company restrict trip and cancel conference globeandmail
303,951,RT @OttawaCitizen: Coronavirus fears force cancellation of World Figure Skating Championships in Montreal https://t.co/1VrmNfzVB9 https://t…,Coronavirus fears force cancellation of World Figure Skating Championships in Montreal  ,Coronavirus fear force cancellation of World Figure Skating Championships in Montreal
304,243,RT @CP24: Coronavirus fears have some Canadians scrambling to rebook vacations https://t.co/OVosv3jQvg https://t.co/msePW4BCuJ,Coronavirus fears have some Canadians scrambling to rebook vacations  ,Coronavirus fear have some Canadians scramble to rebook vacation
305,918,"Coronavirus got me not wanting to sneeze in public when my nose tickle, afraid ima get my ass beat","Coronavirus got me not wanting to sneeze in public when my nose tickle, afraid ima get my ass beat",Coronavirus get me not want to sneeze in public when my nose tickle afraid ima get my as beat
306,302,"RT @weathernetwork: Coronavirus has led to a 25% decline of China's CO2 emissions, mainly due to a slowdown of the country’s energy demand.…","Coronavirus has led to a 25% decline of China's CO2 emissions, mainly due to a slowdown of the country’s energy demand",Coronavirus have lead to 25 decline of China is CO2 emission mainly due to slowdown of the country energy demand
308,938,RT @globalnews: Coronavirus has officially been declared a pandemic. Now what? https://t.co/bGNnzGmb6M https://t.co/geUATeaOSl,Coronavirus has officially been declared a pandemic. Now what?  ,Coronavirus have officially be declare pandemic Now what
309,1206,"RT @DavidInglesTV: Coronavirus has spread from China to at least five other countries

https://t.co/9AvzDMTZsk https://t.co/wHhOo3f94S","Coronavirus has spread from China to at least five other countries

 ",Coronavirus have spread from China to at least five other country
310,241,RT @JamesVGrimaldi: Coronavirus hits Amazon sellers. Shut factories in China are stymieing thousands of Amazon sellers who built their busi…,Coronavirus hits Amazon sellers. Shut factories in China are stymieing thousands of Amazon sellers who built their busi,Coronavirus hit Amazon seller Shut factory in China be stymie thousand of Amazon seller who built their busi
315,339,"RT @TomTSEC: Coronavirus live updates: California home quarantines jump to 8,000 https://t.co/cejfmY4ifH https://t.co/WftS8GDEm3","Coronavirus live updates: California home quarantines jump to 8,000  ",Coronavirus live update California home quarantine jump to
321,73,"RT @VikCBC: Coronavirus outbreak is a reminder of the psychological effect SARS had on my family
https://t.co/xQAwYAp0v6 #cdnhealth #corona…","Coronavirus outbreak is a reminder of the psychological effect SARS had on my family
 #cdnhealth #corona",Coronavirus outbreak be reminder of the psychological effect SARS have on my family cdnhealth corona
323,398,RT @SallyTBean: Coronavirus outbreak raises ethical dilemmas for governments and health-care systems - The Globe and Mail https://t.co/wvP9…,Coronavirus outbreak raises ethical dilemmas for governments and health-care systems - The Globe and Mail ,Coronavirus outbreak raise ethical dilemma for government and healthcare system The Globe and Mail
325,521,"RT @WR_Record: Coronavirus prompts Waterloo Region schools to cancel and postpone student trips.
The Waterloo Region District School Board…","Coronavirus prompts Waterloo Region schools to cancel and postpone student trips.
The Waterloo Region District School Board",Coronavirus prompt Waterloo Region school to cancel and postpone student trip The Waterloo Region District School Board
332,1201,"RT @nytimes: Coronavirus updates:

- More than 800 people have been diagnosed and at least 26 are dead
- Hospitals in Wuhan are overwhelmed…","Coronavirus updates:

- More than 800 people have been diagnosed and at least 26 are dead
- Hospitals in Wuhan are overwhelmed",Coronavirus update More than 800 people have be diagnose and at least 26 be dead Hospitals in Wuhan be overwhelmed
333,942,"Coronavirus update: Ontario confirms a new case, bringing provincial total to 42 since outbreak began https://t.co/5EmOKmyhDu","Coronavirus update: Ontario confirms a new case, bringing provincial total to 42 since outbreak began ",Coronavirus update Ontario confirms new case bring provincial total to 42 since outbreak begin
335,717,"RT @BNODesk: Coronavirus update:
- 88,583 confirmed cases worldwide
- 3,043 fatalities
- 7,354 in serious/critical condition
- 45,054 recov…","Coronavirus update:
- 88,583 confirmed cases worldwide
- 3,043 fatalities
- 7,354 in serious/critical condition
- 45,054 recov",Coronavirus update confirm case worldwide fatality in condition recov
336,1113,"RT @BNODesk: Coronavirus update:
- 14,550 confirmed cases worldwide
- 19,544 suspected cases
- 304 fatalities
- 2,110 in serious/critical c…","Coronavirus update:
- 14,550 confirmed cases worldwide
- 19,544 suspected cases
- 304 fatalities
- 2,110 in serious/critical c",Coronavirus update confirm case worldwide suspect case 304 fatality in
337,88,"RT @BNODesk: Coronavirus update:
- 42,729 confirmed cases worldwide
- 23,589 suspected cases
- 1,013 fatalities
- 7,463 in serious/critical…","Coronavirus update:
- 42,729 confirmed cases worldwide
- 23,589 suspected cases
- 1,013 fatalities
- 7,463 in serious/critical",Coronavirus update confirm case worldwide suspect case fatality in
340,198,RT @KWRegion: Coronavirus wipes out $1.7 trillion in US stock market value in two days https://t.co/lVfhPUJIpm,Coronavirus wipes out $1.7 trillion in US stock market value in two days ,Coronavirus wipe out trillion in US stock market value in two day
341,317,RT @wvjoe911: Coronavirus wipes out $1.7 trillion in US stock market value in two days https://t.co/GKB0DMxVVS,Coronavirus wipes out $1.7 trillion in US stock market value in two days ,Coronavirus wipe out trillion in US stock market value in two day
342,747,"RT @LegalATeam: Coronavirus worries, precarious work &amp; sick days: hear @Sarah_Molyneaux, Molyneaux Law, talk with @mattgallowaycbc on the C…","Coronavirus worries, precarious work &amp; sick days: hear @Sarah_Molyneaux, Molyneaux Law, talk with @mattgallowaycbc on the C",Coronavirus worry precarious work amp sick day hear SarahMolyneaux Molyneaux Law talk with mattgallowaycbc on the
345,345,"RT @Ruptly: Cruise ship passengers waiting for permission to disembark amid #coronavirus fears
#Mexico #Cozumel https://t.co/nJ3SdVEpso","Cruise ship passengers waiting for permission to disembark amid #coronavirus fears
#Mexico #Cozumel ",Cruise ship passenger wait for permission to disembark amid coronavirus fear Mexico Cozumel
351,303,"Deadly 1918 flu pandemic’s lessons ignored in Trump’s coronavirus response, historian says - The Washington Post https://t.co/Z8baxELiqb","Deadly 1918 flu pandemic’s lessons ignored in Trump’s coronavirus response, historian says - The Washington Post ",Deadly 1918 flu pandemic lesson ignore in Trump coronavirus response historian say The Washington Post
353,1256,RT @CP24: Declaration of global emergency over coronavirus will have 'little impact' locally: Toronto's top doctor https://t.co/6bQ8PtCZ8r…,Declaration of global emergency over coronavirus will have 'little impact' locally: Toronto's top doctor ,Declaration of global emergency over coronavirus will have impact locally Toronto is top doctor
356,1145,RT @CBCAlerts: U.S. Department of State issues a 'do not travel' warning for China over the coronavirus outbreak. The level 4 advisory says…,U.S. Department of State issues a 'do not travel' warning for China over the coronavirus outbreak. The level 4 advisory says,Department of State issue not travel warn for China over the coronavirus outbreak The level advisory say
359,869,"RT @PTBOTODAYca: Despite many events and mass gatherings being cancelled around the world because of coronavirus, Peterborough's St. Patric…","Despite many events and mass gatherings being cancelled around the world because of coronavirus, Peterborough's St. Patric",Despite many event and mass gathering be cancel around the world because of coronavirus Peterborough is Patric
361,982,RT @ReutersBiz: Deutsche Bank says Frankfurt-based employee contracts coronavirus https://t.co/ySvvu26xYA https://t.co/84jaHSYDDX,Deutsche Bank says Frankfurt-based employee contracts coronavirus  ,Deutsche Bank say Frankfurtbased employee contract coronavirus
366,1296,Don't fall victim to misinformation and even worst fake news. Get the facts about the #Coronavirus from @TOPublicHealth. https://t.co/S2ea8wOpw8,Don't fall victim to misinformation and even worst fake news. Get the facts about the #Coronavirus from @TOPublicHealth. ,Do not fall victim to misinformation and even bad fake news Get the fact about the Coronavirus from TOPublicHealth
367,681,"RT @picardonhealth: Do you have questions about the #coronavirus outbreak? 
Send them to me at audience@globeandmail.com and/or join me for…","Do you have questions about the #coronavirus outbreak? 
Send them to me at audience@globeandmail.com and/or join me for",Do you have question about the coronavirus outbreak Send them to me at audience join me for
371,745,"RT @XArmandKleinX: President Donald J.Trump defended his decision to limit travel to China amid growing coronavirus concerns,during an on…","President Donald J.Trump defended his decision to limit travel to China amid growing coronavirus concerns,during an on",Donald defend his decision to limit travel to China amid grow coronavirus concern during an on
372,239,"RT @XArmandKleinX: Presisident Donald J.Trump just held a news conference on the coronavirus ""The number- one priority from our standpoin…","Presisident Donald J.Trump just held a news conference on the coronavirus ""The number- one priority from our standpoin",Donald just held news conference on the coronavirus The number one priority from our standpoin
375,1106,"Dow cuts losses, now down less than 100 points after WHO calms coronavirus fears https://t.co/hs8gx0FNiW","Dow cuts losses, now down less than 100 points after WHO calms coronavirus fears ",Dow cut loss now down less than 100 point after WHO calm coronavirus fear
376,614,"Dow futures tumble 1,000 points as all-out oil price war adds to coronavirus stress - https://t.co/2xDeN7pI9j","Dow futures tumble 1,000 points as all-out oil price war adds to coronavirus stress - ",Dow future tumble point a allout oil price war add to coronavirus stress
377,574,RT @CTVToronto: Downtown Toronto accounting office shut down after employee diagnosed with novel coronavirus https://t.co/XPT0OGnz0x,Downtown Toronto accounting office shut down after employee diagnosed with novel coronavirus ,Downtown Toronto accounting office shut down after employee diagnose with novel coronavirus
